index,Cp,K,M,inlet_p,atmo_p,inlet_t,inlet_area,Iteration,report-def-continuity,report-def-massflow,report-def-thrust,Qm_max,Cf,Cf_max,SpecImpulse
1,2837.76,0.242,20.9,3000000.0,325.0,3500,0.380797640679495,2000,-4.002762112228738e-05,204.1567619191544,674864.4602818366,204.8777886945282,1.7901335795149727,2.0580166328067815,337.07932338018844
2,2837.76,0.242,20.9,3000000.0,8325.0,3500,0.380797640679495,2000,-1.014345312723764e-06,204.1571890582226,657698.586110868,204.8777886945282,1.7445996840682538,1.815606258656518,328.5046755412802
3,2837.76,0.242,20.9,3000000.0,20325.0,3500,0.380797640679495,2000,0.0004621633647181,204.1567074828244,634004.6516570579,204.8777886945282,1.681749570907933,1.7186694593778784,316.6708703178493
4,2837.76,0.242,20.9,3000000.0,36325.0,3500,0.380797640679495,2000,2.576445083903448e-05,204.1567093920424,601609.9552967113,204.8777886945282,1.5958199699794298,1.6452360465904983,300.49045516644435
5,2837.76,0.242,20.9,3000000.0,60325.0,3500,0.380797640679495,2000,1.780559679127496e-05,204.1567150018662,553080.9845179914,204.8777886945282,1.4670928769361729,1.5728725132833914,276.2513331964785
6,2837.76,0.242,20.9,3000000.0,101325.0,3500,0.380797640679495,2000,0.0170949570076337,204.1572118862811,470465.167027066,204.8777886945282,1.2479476147485287,1.489326721468906,234.9860453257423
7,2837.76,0.242,20.9,6000000.0,325.0,3500,0.380797640679495,2000,0.000118598547832,408.4717688194351,1352206.894532349,409.7555773890564,1.7934200945647043,2.0943944241442547,337.5673422034461
8,2837.76,0.242,20.9,6000000.0,8325.0,3500,0.380797640679495,2000,2.049692618327973e-07,408.4718541797596,1334738.966197512,409.7555773890564,1.770252535064169,1.880007561563021,333.2065477701265
9,2837.76,0.242,20.9,6000000.0,20325.0,3500,0.380797640679495,2000,-4.954736337898856e-07,408.4718808885317,1309240.246627783,409.7555773890564,1.7364338078805317,1.7954247547942406,326.8409818726043
10,2837.76,0.242,20.9,6000000.0,36325.0,3500,0.380797640679495,2000,0.0005091914791207,408.4718526541229,1278263.751118464,409.7555773890564,1.6953499547140982,1.7318775820435548,319.10797843424535
11,2837.76,0.242,20.9,6000000.0,60325.0,3500,0.380797640679495,2000,1.276562506161012e-06,408.4718317722121,1229728.966566529,409.7555773890564,1.6309786974362597,1.6697571894521033,306.9916863877586
12,2837.76,0.242,20.9,6000000.0,101325.0,3500,0.380797640679495,2000,1.863099406755575e-07,408.4718498245314,1146839.488382025,409.7555773890564,1.5210431125748296,1.5987320018843365,286.2989996712939
13,2837.76,0.242,20.9,12000000.0,325.0,3500,0.380797640679495,2000,-5.606363069093235e-05,817.1963119415319,2707956.535988797,819.5111547781128,1.7957694515859293,2.1268654490104937,337.90499827719384
14,2837.76,0.242,20.9,12000000.0,8325.0,3500,0.380797640679495,2000,0.0011367235969338,817.1975776587165,2688960.702562989,819.5111547781128,1.7831724483031477,1.9365931618311147,335.53413512553556
15,2837.76,0.242,20.9,12000000.0,20325.0,3500,0.380797640679495,2000,1.293672542405166e-06,817.1973646082954,2664368.21762965,819.5111547781128,1.76686405021959,1.8623373253793085,332.4655201454721
16,2837.76,0.242,20.9,12000000.0,36325.0,3500,0.380797640679495,2000,7.443083399757965e-06,817.1974697575863,2630201.033151436,819.5111547781128,1.7442062322977547,1.8069048902771583,328.20202413150196
17,2837.76,0.242,20.9,12000000.0,60325.0,3500,0.380797640679495,2000,0.0006305495832587,817.1976239632821,2583722.731605702,819.5111547781128,1.7133843513080913,1.7530432441030332,322.40230294359424
18,2837.76,0.242,20.9,12000000.0,101325.0,3500,0.380797640679495,2000,-2.093294033524365e-07,817.1963569443444,2501299.890372581,819.5111547781128,1.6587260071167174,1.6918956550364879,312.11789309366026
19,2837.76,0.242,20.9,20000000.0,325.0,3500,0.380797640679495,2000,0.0001272892617879,1362.264401101948,4516947.43034707,1365.8519246301878,1.797236278064927,2.148576333365449,338.1138436978945
20,2837.76,0.242,20.9,20000000.0,8325.0,3500,0.380797640679495,2000,-0.0015999281325609,1362.262501802722,4497370.343516467,1365.8519246301878,1.7894468027138526,1.973992274863996,336.64888000521285
21,2837.76,0.242,20.9,20000000.0,20325.0,3500,0.380797640679495,2000,-2.163108839940261e-05,1362.264373674203,4472665.577689958,1365.8519246301878,1.779617088715811,1.9063175282390878,334.7991544767145
22,2837.76,0.242,20.9,20000000.0,36325.0,3500,0.380797640679495,2000,1.483316631470688e-05,1362.26163022045,4438306.08702791,1365.8519246301878,1.765945881763349,1.8559921677027953,332.2278609850145
23,2837.76,0.242,20.9,20000000.0,60325.0,3500,0.380797640679495,2000,-1.30421182990869e-05,1362.261583086739,4386995.660927348,1365.8519246301878,1.7455301118982094,1.80726661299256,328.3870482183743
24,2837.76,0.242,20.9,20000000.0,101325.0,3500,0.380797640679495,2000,-0.0001337703575786,1362.262916078625,4308198.841777319,1365.8519246301878,1.7141778537290964,1.7521756959879093,322.48842391886035
