index,Cp,K,M,inlet_p,atmo_p,inlet_t,inlet_area,Iteration,report-def-continuity,report-def-massflow,report-def-thrust,Qm_max,Cf,Cf_max,SpecImpulse
1,2837.76,0.242,20.9,3000000.0,325.0,3500,2.698784494220131,2000,0.001655272785197,206.0727950985822,687343.8958368776,204.8777886945282,1.8232363104413316,2.0580166328067815,340.12044828186964
2,2837.76,0.242,20.9,3000000.0,8325.0,3500,2.698784494220131,2000,0.0010299355003691,206.0854015087119,669690.7614715463,204.8777886945282,1.7764099171862,1.815606258656518,331.36482358999217
3,2837.76,0.242,20.9,3000000.0,20325.0,3500,2.698784494220131,2000,3.884111480084118e-06,206.0768867769202,645405.0752342269,204.8777886945282,1.7119901336687302,1.7186694593778784,319.3613944037361
4,2837.76,0.242,20.9,3000000.0,36325.0,3500,2.698784494220131,2000,4.905338642418316e-06,206.0954699825737,615964.3166344687,204.8777886945282,1.6338960960099511,1.6452360465904983,304.7659418914678
5,2837.76,0.242,20.9,3000000.0,60325.0,3500,2.698784494220131,2000,2.82281866983966e-05,206.0885132485511,588766.9515979467,204.8777886945282,1.5617528445993318,1.5728725132833914,291.31910204327625
6,2837.76,0.242,20.9,3000000.0,101325.0,3500,2.698784494220131,2000,-1.224469006512104e-05,206.0691394024977,556200.5530686257,204.8777886945282,1.4753677895219641,1.489326721468906,275.23127590860105
7,2837.76,0.242,20.9,6000000.0,325.0,3500,2.698784494220131,2000,-0.0026562480379305,412.3880293682807,1377040.723651171,409.7555773890564,1.8263569833993707,2.0943944241442547,340.5023065264471
8,2837.76,0.242,20.9,6000000.0,8325.0,3500,2.698784494220131,2000,2.240913460393661,412.3791991272375,1338839.145662723,409.7555773890564,1.7756905669762706,1.880007561563021,331.06325107842315
9,2837.76,0.242,20.9,6000000.0,20325.0,3500,2.698784494220131,2000,0.0002868820031643,412.3442424593184,1333068.961144289,409.7555773890564,1.7680376220707612,1.7954247547942406,329.66436601345004
10,2837.76,0.242,20.9,6000000.0,36325.0,3500,2.698784494220131,2000,3.059186396866238e-06,412.3524828816862,1301395.201882107,409.7555773890564,1.7260289941301032,1.7318775820435548,321.825099142578
11,2837.76,0.242,20.9,6000000.0,60325.0,3500,2.698784494220131,2000,2.07843772885965e-05,412.3184535650797,1253625.709179679,409.7555773890564,1.662672736691906,1.6697571894521033,310.03765405195486
12,2837.76,0.242,20.9,6000000.0,101325.0,3500,2.698784494220131,2000,3.4925933413431845e-08,412.3744590155112,1198097.123000139,409.7555773890564,1.5890256619137553,1.5987320018843365,296.2644834896282
13,2837.76,0.242,20.9,12000000.0,325.0,3500,2.698784494220131,2000,0.0001933491089358,825.0866660638786,2759102.678336117,819.5111547781128,1.829686790647003,2.1268654490104937,340.99469184154066
14,2837.76,0.242,20.9,12000000.0,8325.0,3500,2.698784494220131,2000,-0.0071358829837251,825.0456172950707,2735182.537804581,819.5111547781128,1.8138242547926415,1.9365931618311147,338.055244556974
15,2837.76,0.242,20.9,12000000.0,20325.0,3500,2.698784494220131,2000,-0.0008016361146682,824.9420924076442,2712834.646635383,819.5111547781128,1.7990043491790682,1.8623373253793085,335.3352311346691
16,2837.76,0.242,20.9,12000000.0,36325.0,3500,2.698784494220131,2000,0.0007413910245626,824.9025313679434,2678384.999171395,819.5111547781128,1.7761592171721228,1.8069048902771583,331.0927660414358
17,2837.76,0.242,20.9,12000000.0,60325.0,3500,2.698784494220131,2000,0.0001872777524255,824.8407970839949,2626888.831249859,819.5111547781128,1.742009760192945,1.7530432441030332,324.7512902351444
18,2837.76,0.242,20.9,12000000.0,101325.0,3500,2.698784494220131,2000,-6.311478767025478e-06,824.9857856567146,2546552.079283979,819.5111547781128,1.6887347969124558,1.6918956550364879,314.764264740807
19,2837.76,0.242,20.9,20000000.0,325.0,3500,2.698784494220131,2000,0.0001164135043589,1375.055155764127,4602713.499843024,1365.8519246301878,1.831361512839537,2.148576333365449,341.3289685004765
20,2837.76,0.242,20.9,20000000.0,8325.0,3500,2.698784494220131,2000,-0.0945207731296739,1375.434937457527,4571899.095700175,1365.8519246301878,1.8191008509951225,1.973992274863996,338.95021167648355
21,2837.76,0.242,20.9,20000000.0,20325.0,3500,2.698784494220131,2000,0.0512580313120384,1371.422671188708,4566972.014964558,1365.8519246301878,1.817140427859907,1.9063175282390878,339.5755010991088
22,2837.76,0.242,20.9,20000000.0,36325.0,3500,2.698784494220131,2000,-0.0005445164313743,1375.38784592371,4519243.590411134,1365.8519246301878,1.7981498911257419,1.8559921677027953,335.05792371197333
23,2837.76,0.242,20.9,20000000.0,60325.0,3500,2.698784494220131,2000,-0.0004068890150256,1375.328669448757,4467210.952629879,1365.8519246301878,1.7774467623632497,1.80726661299256,331.2144606870633
24,2837.76,0.242,20.9,20000000.0,101325.0,3500,2.698784494220131,2000,0.0001159676787067,1375.389757715107,4379243.382807828,1365.8519246301878,1.7424455784408475,1.7521756959879093,324.67781972173407
